Bairro,Populacao,Homicidios,rate
SAPIRANGA COITE,32158.0,13.0,0.0004042539958952671
SERRINHA,28770.0,21.0,0.00072992700729927
SIQUEIRA,33628.0,30.0,0.0008921137147615083
VARJOTA,8421.0,2.0,0.00023750148438427741
VILA ELLERY,7863.0,6.0,0.0007630675314765357
VILA PERY,20645.0,6.0,0.00029062727052555097
VILA UNIAO,15378.0,10.0,0.0006502796202367018
VILA VELHA,61617.0,31.0,0.0005031079085317364
VICENTE PINZON,45518.0,34.0,0.0007469572476822356
CASTELAO,0.0,7.0,0.0
GENTILANDIA,0.0,0.0,0.0
PATRIOLINO RIBEIRO,0.0,2.0,0.0
